epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1013.34,1.01141,0.85244,1.1891,0.92457,0.77604,0.87663,0.57743,1.21171,0.89458,1.34846,0.000113489,0.000113489,0.000113489
43,1033.87,0.96979,0.79532,1.16303,0.92023,0.77903,0.88057,0.58377,1.20472,0.88197,1.33886,0.000102696,0.000102696,0.000102696
44,1055.7,0.98104,0.76601,1.15627,0.89282,0.88784,0.94219,0.6297,1.22446,0.83161,1.35028,9.19035e-05,9.19035e-05,9.19035e-05
45,1075.79,0.96981,0.75076,1.16368,0.78997,0.91201,0.91742,0.61381,1.21201,0.83706,1.34905,8.11106e-05,8.11106e-05,8.11106e-05
46,1097.22,0.94907,0.73956,1.15196,0.9254,0.80609,0.89877,0.59815,1.21733,0.8245,1.33414,7.03176e-05,7.03176e-05,7.03176e-05
47,1118.08,0.937,0.73354,1.14137,0.91877,0.8086,0.90063,0.59676,1.21822,0.83857,1.34704,5.95247e-05,5.95247e-05,5.95247e-05
48,1139.12,0.92615,0.69877,1.13363,0.90619,0.82562,0.90162,0.60034,1.22839,0.82642,1.35453,4.87318e-05,4.87318e-05,4.87318e-05
49,1160.81,0.92957,0.69618,1.14257,0.83551,0.8288,0.90434,0.60314,1.21975,0.81201,1.35059,3.79388e-05,3.79388e-05,3.79388e-05
50,1181.04,0.92515,0.68549,1.13976,0.91998,0.81749,0.9057,0.60968,1.21791,0.7995,1.35031,2.71459e-05,2.71459e-05,2.71459e-05
51,1203.08,0.89427,0.68065,1.11467,0.84419,0.83437,0.90642,0.60828,1.2187,0.79714,1.34855,1.63529e-05,1.63529e-05,1.63529e-05
